time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,784,235.4239,235.39,235.7,235.7,235.39,51
1729670460000,425,235.3292,235.36,235.36,235.36,235.36,36
1729670640000,633,235.1723,235.12,235.27,235.27,235.12,36
1729670700000,773,235.1906,235.2,235.2,235.2,235.2,29
1729670820000,268,235.3985,235.4,235.4,235.4,235.4,9
1729671600000,259,235.3437,235.36,235.36,235.36,235.36,25
1729671660000,346,235.3477,235.38,235.38,235.38,235.38,9
1729671960000,149,235.3097,235.31,235.31,235.31,235.31,4
1729672920000,200,235.2743,235.27,235.27,235.27,235.27,4
1729673100000,637,235.1809,235.18,235.18,235.18,235.18,21
1729673400000,448,235.1604,235.16,235.16,235.16,235.16,13
1729673820000,421,235.0108,235.01,235.01,235.01,235.01,13
1729673940000,482,234.9996,235,235,235,235,31
1729674000000,115,234.9348,234.94,234.94,234.94,234.94,3
1729674060000,585,234.8961,234.9,234.9,234.9,234.9,11
1729674180000,379,234.9074,234.91,234.91,234.91,234.91,7
1729674240000,121,234.9019,234.9,234.9,234.9,234.9,4
1729674360000,1103,234.8417,234.85,234.81,234.87,234.81,16
1729674840000,464,234.9173,234.92,234.92,234.92,234.92,15
1729676460000,104,234.9491,234.95,234.95,234.95,234.95,5
1729676520000,915,234.7931,234.83,234.75,234.83,234.75,30
1729676580000,2738,234.7992,234.76,234.86,234.86,234.76,15
1729677300000,301,234.7806,234.77,234.77,234.77,234.77,8
1729677660000,503,234.7169,234.72,234.71,234.72,234.71,12
1729677720000,502,234.7601,234.75,234.77,234.77,234.75,8
1729677840000,103,234.7794,234.78,234.78,234.78,234.78,4
1729678020000,472,234.85,234.85,234.85,234.85,234.85,16
1729678320000,382,234.8702,234.87,234.87,234.87,234.87,13
1729678560000,150,234.79,234.79,234.79,234.79,234.79,3
1729678740000,105,234.7506,234.75,234.75,234.75,234.75,3
1729679220000,306,234.6731,234.66,234.66,234.66,234.66,26
1729679340000,256,234.6619,234.66,234.66,234.66,234.66,7
1729679400000,1094,234.5406,234.65,234.48,234.65,234.48,46
1729679640000,174,234.5994,234.6,234.6,234.6,234.6,3
1729679700000,486,234.4693,234.47,234.41,234.47,234.41,15
1729679760000,517,234.5311,234.58,234.5,234.58,234.5,7
1729679820000,204,234.4994,234.5,234.5,234.5,234.5,4
1729679880000,542,234.4887,234.49,234.49,234.49,234.49,12
1729679940000,107,234.5,234.5,234.5,234.5,234.5,2
1729680000000,431,234.5023,234.5,234.5,234.5,234.5,8
1729680120000,251,234.4588,234.46,234.46,234.46,234.46,3
1729680480000,280,234.3507,234.35,234.35,234.35,234.35,8
1729680660000,546,234.3094,234.31,234.31,234.31,234.31,11
1729680720000,1025,234.31,234.31,234.31,234.31,234.31,13
1729680780000,2359,234.3237,234.31,234.33,234.34,234.31,18
1729680840000,578,234.3446,234.34,234.37,234.37,234.34,13
1729681080000,905,234.4897,234.5,234.5,234.5,234.5,20
1729681140000,1367,234.4789,234.55,234.4,234.55,234.4,16
1729681200000,2229,234.5869,234.53,234.66,234.66,234.52,41
1729681260000,1989,234.6873,234.56,234.79,234.79,234.56,29
1729681380000,773,234.745,234.75,234.75,234.75,234.73,14
1729681440000,344,234.7269,234.75,234.7,234.75,234.7,10
1729681500000,1460,234.7411,234.7,234.79,234.79,234.7,29
1729681560000,668,234.7508,234.77,234.76,234.77,234.74,14
1729681620000,5397,234.7503,234.75,234.75,234.75,234.74,26
1729681680000,283,234.7702,234.77,234.77,234.77,234.77,10
1729681740000,4124,234.7751,234.78,234.74,234.79,234.74,33
1729681800000,1725,234.7972,234.76,234.82,234.82,234.76,22
1729681920000,928,234.8358,234.83,234.85,234.85,234.83,11
1729682040000,1002,234.8282,234.83,234.82,234.83,234.82,15
1729682100000,1000,234.6675,234.69,234.66,234.69,234.66,4
1729682340000,663,234.7806,234.78,234.78,234.78,234.78,5
1729682520000,1826,234.6874,234.69,234.74,234.74,234.66,43
1729682640000,474,234.69,234.69,234.69,234.69,234.69,5
1729682700000,868,234.591,234.55,234.54,234.55,234.54,31
1729682880000,268,234.6179,234.62,234.62,234.62,234.62,10
1729683000000,391,234.6453,234.65,234.65,234.65,234.65,8
1729683060000,840,234.6172,234.62,234.6,234.62,234.6,10
1729683120000,674,234.536,234.6,234.5,234.6,234.5,26
1729683420000,354,234.5287,234.53,234.53,234.53,234.53,5
1729683540000,5524,234.5026,234.51,234.5,234.51,234.5,34
1729683600000,2609,234.4987,234.5,234.5,234.5,234.5,18
1729683660000,1656,234.4921,234.48,234.5,234.5,234.48,22
1729683780000,2782,234.4968,234.49,234.5,234.5,234.49,18
1729683900000,1274,234.4422,234.44,234.44,234.44,234.44,15
1729683960000,1952,234.3938,234.4,234.4,234.4,234.4,42
1729684020000,259,234.3947,234.39,234.4,234.4,234.39,13
1729684200000,437,234.4597,234.46,234.46,234.46,234.46,4
1729684440000,1208,234.4115,234.43,234.4,234.43,234.4,31
1729684620000,732,234.478,234.48,234.48,234.48,234.48,11
1729684680000,403,234.4615,234.46,234.45,234.46,234.45,15
1729684800000,24035,234.7762,234.74,234.4,235.48,234.3418,669
1729684860000,1983,234.7583,234.485,234.4,235.34,234.4,186
1729684980000,514,234.4304,234.42,234.45,234.45,234.42,18
1729685040000,979,234.3821,234.42,234.35,234.42,234.35,25
1729685100000,8419,234.3428,234.35,234.33,234.35,234.33,76
1729685220000,370,234.3713,234.3,234.3,234.3,234.3,21
1729685280000,2536,234.3296,234.414,234.31,234.414,234.3,30
1729685460000,8679,234.2983,234.32,234.25,234.32,234.25,58
1729685520000,523,234.2527,234.2511,234.25,234.2511,234.25,18
1729685580000,1363,234.2758,234.2506,234.28,234.3,234.2506,20
1729685640000,288,234.3198,234.3,234.3,234.3,234.3,18
1729685700000,696,234.3329,234.25,234.35,234.35,234.25,20
1729685820000,1045,234.3832,234.37,234.4,234.4,234.37,31
1729685880000,2364,234.4559,234.4335,234.4,234.4994,234.4,43
1729685940000,1408,234.5163,234.49,234.55,234.55,234.49,84
1729686000000,340,234.5118,234.5,234.54,234.54,234.5,11
1729686060000,1600,234.5108,234.54,234.5,234.54,234.49,35
1729686240000,2179,234.5545,234.52,234.5599,234.56,234.52,30
1729686300000,1639,234.5563,234.56,234.55,234.56,234.55,26
1729686420000,382,234.5689,234.56,234.56,234.56,234.56,21
1729686480000,288,234.5803,234.56,234.6,234.6,234.56,14
1729686540000,831,234.579,234.6,234.57,234.6,234.57,33
1729686660000,395,234.661,234.6974,234.6974,234.6974,234.6974,17
1729686720000,1430,234.5738,234.6,234.56,234.6,234.56,41
1729686780000,2639,234.5582,234.55,234.56,234.56,234.55,56
1729686840000,1407,234.5117,234.59,234.48,234.59,234.48,48
1729686900000,2984,234.4328,234.31,234.31,234.31,234.31,103
1729686960000,1143,234.3027,234.3,234.315,234.315,234.2921,39
1729687020000,7187,234.29,234.28,234.25,234.35,234.25,119
1729687140000,9675,234.0564,234.23,234,234.23,233.93,326
1729687200000,2673,233.9924,233.91,234,234.13,233.91,71
1729687260000,1526,233.9973,234,234,234,233.98,37
1729687320000,4241,233.9918,234,233.96,234,233.96,72
1729687380000,1636,233.9628,234,233.9501,234,233.9501,37
1729687440000,6595,233.9172,233.95,233.9,233.95,233.83,92
1729687500000,1086,233.9373,234,234,234,234,56
1729687560000,1843,233.9636,234,233.91,234,233.91,59
1729687620000,7129,233.9391,233.97,233.97,234,233.9,84
1729687680000,2344,233.9133,233.93,233.9985,233.9985,233.9,51
1729687740000,779,233.9417,233.96,233.91,233.96,233.91,23
1729687800000,3317,233.9058,233.91,233.88,233.94,233.88,51
1729687860000,4237,233.8184,233.85,233.8001,233.87,233.8,98
1729687920000,1503,233.8781,233.86,233.9485,233.9485,233.86,37
1729687980000,1263,233.8711,233.87,233.86,233.87,233.86,31
1729688040000,1699,233.9292,233.9,233.92,233.94,233.9,37
1729688100000,244,233.9456,233.95,233.95,233.95,233.95,26
1729688160000,1135,233.9288,233.92,233.968,233.968,233.92,38
1729688220000,1021,233.9628,233.904,233.97,233.98,233.904,24
1729688280000,648,233.9732,233.99,233.99,233.99,233.99,32
1729688340000,2814,233.9644,233.91,233.9979,233.9979,233.91,34
1729688400000,40843,233.7428,233.93,233.76,233.93,233.61,229
1729688460000,9215,233.8447,233.77,233.93,233.9499,233.76,129
1729688520000,4691,233.9641,233.9,233.962,234,233.9,52
1729688580000,8829,233.959,233.99,233.92,234,233.91,101
1729688640000,256,233.9666,233.9999,233.9999,233.9999,233.9999,18
1729688700000,824,233.9449,234,233.92,234,233.92,39
1729688760000,1205,233.9262,233.92,233.9,233.92,233.9,57
1729688820000,1625,233.9273,233.91,233.91,234,233.91,35
1729688880000,792,233.8892,233.9,233.9,233.9,233.9,49
1729688940000,2081,233.7887,233.76,233.8,233.86,233.76,40
1729689000000,2852,233.9716,233.96,234,234,233.96,54
1729689060000,11508,233.9763,233.97,233.86,234,233.86,96
1729689120000,8122,233.8966,233.9975,234,234,233.85,42
1729689180000,1565,233.8883,233.9,233.9,233.9,233.85,49
1729689240000,1090,233.925,233.995,233.9,233.995,233.9,36
1729689300000,243,233.928,233.9,233.9,233.9,233.9,25
1729689360000,403,233.9644,233.94,233.9878,233.9878,233.94,24
1729689420000,1695,233.9068,233.9737,233.86,233.9737,233.86,55
1729689480000,943,233.9446,233.93,233.93,233.93,233.93,39
1729689540000,883,233.9864,233.99,233.99,233.99,233.99,33
1729689600000,1862,233.9664,233.97,233.9899,233.9899,233.94,42
1729689660000,5656,233.874,233.93,233.81,233.94,233.81,115
1729689720000,5919,233.8075,233.85,233.85,233.85,233.76,74
1729689780000,4196,233.9349,233.9,233.87,233.99,233.87,45
1729689840000,2290,233.8572,233.9,233.87,233.92,233.76,52
1729689900000,41357,233.8103,233.86,233.99,234,233.75,196
1729689960000,4045,233.9942,233.99,233.95,234.08,233.94,93
1729690020000,3316,234.0073,234.0563,234.0986,234.0986,233.95,41
1729690080000,29975,234.2366,234.1,234.2393,234.3,234.1,155
1729690140000,32355,234.2405,234.13,234.25,234.25,234.13,123
1729690200000,683395,234.329,234.08,234.26,234.5199,234.07,7687
1729690260000,256102,234.147,234.24,234.36,234.43,233.81,3157
1729690320000,203191,234.533,234.38,234.45,234.67,234.345,2988
1729690380000,147402,234.394,234.48,234.2693,234.63,234.16,2127
1729690440000,120666,234.1901,234.2601,234.09,234.355,234,1661
1729690500000,216589,234.1193,234.08,234.49,234.49,233.86,3101
1729690560000,184186,234.7042,234.4799,234.8508,234.9599,234.41,2483
1729690620000,158687,234.6381,234.86,234.475,234.915,234.4182,2163
1729690680000,113446,234.5037,234.48,234.7,234.7,234.37,1777
1729690740000,249122,234.9848,234.72,235.09,235.14,234.6906,2638
1729690800000,110872,234.9605,235.09,234.87,235.12,234.805,1742
1729690860000,78705,234.727,234.86,234.62,234.86,234.62,1249
1729690920000,111636,234.6959,234.64,234.65,234.81,234.59,1659
1729690980000,98878,234.5529,234.66,234.46,234.68,234.43,1420
1729691040000,60556,234.4232,234.44,234.4899,234.51,234.34,1065
1729691100000,88443,234.366,234.46,234.35,234.46,234.28,1444
1729691160000,57003,234.5604,234.365,234.63,234.69,234.36,1000
1729691220000,96408,234.6863,234.62,234.735,234.86,234.52,1292
1729691280000,79954,234.8659,234.74,234.835,234.9288,234.74,1010
