time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729756800000,1904,152.794,152.3,152.02,153.92,152.02,127
1729756860000,496,151.9686,151.9,151.99,151.99,151.9,21
1729756980000,483,152.4297,152.57,152.45,152.57,152.45,26
1729757220000,197,152.4862,152.5,152.5,152.5,152.5,9
1729757280000,1520,152.5108,152.5,152.5,152.56,152.5,14
1729757340000,381,152.5991,152.6,152.6,152.6,152.6,6
1729757400000,500,152.6966,152.7,152.7,152.7,152.7,11
1729757580000,752,152.6092,152.6,152.6,152.6,152.6,30
1729757760000,702,152.8273,152.79,152.85,152.85,152.79,14
1729757820000,191,152.9501,152.95,152.95,152.95,152.95,4
1729757940000,372,152.8266,152.93,152.8,152.93,152.8,12
1729758000000,661,152.6259,152.63,152.61,152.63,152.61,14
1729758240000,243,152.6503,152.64,152.64,152.64,152.64,7
1729758360000,881,152.798,152.71,152.83,152.83,152.71,17
1729758660000,664,152.9663,152.97,152.96,152.97,152.96,9
1729758720000,5957,152.5393,152.77,152.5,152.77,152.5,68
1729758780000,1311,152.5514,152.64,152.5,152.64,152.5,36
1729758840000,2031,152.1527,152.5,152.1,152.5,152.1,37
1729758900000,672,152.1349,152.1,152.02,152.1,152.02,16
1729758960000,493,152.6714,152.67,152.79,152.79,152.67,7
1729759080000,1719,152.2604,152.48,152.4,152.48,152.4,44
1729759500000,307,152.3568,152.4,152.4,152.4,152.4,16
1729759560000,200,152.4,152.4,152.4,152.4,152.4,2
1729759980000,168,152.3367,152.33,152.33,152.33,152.33,5
1729761540000,122,152.689,152.66,152.66,152.66,152.66,3
1729762080000,145,152.8055,152.79,152.79,152.79,152.79,2
1729762560000,605,152.8018,152.83,152.85,152.85,152.83,14
1729762680000,2152,152.9664,152.85,153.05,153.06,152.84,27
1729762740000,200,153.05,153.05,153.05,153.05,153.05,1
1729762860000,143,152.9913,152.99,152.99,152.99,152.99,3
1729762920000,1623,153.2232,153.11,153.25,153.25,153.1,15
1729762980000,643,153.4823,153.4,153.5,153.5,153.4,7
1729763040000,550,153.4873,153.51,153.5,153.51,153.42,6
1729763100000,633,153.5748,153.59,153.61,153.61,153.59,13
1729763160000,521,153.6465,153.65,153.67,153.67,153.65,9
1729763220000,307,153.7857,153.79,153.8,153.8,153.79,6
1729763280000,530,153.797,153.8,153.81,153.81,153.8,8
1729763340000,1450,153.8059,153.81,153.81,153.81,153.81,17
1729763400000,213,153.6934,153.7,153.67,153.7,153.67,4
1729763580000,733,153.7012,153.7,153.7,153.7,153.7,5
1729763700000,410,153.6829,153.71,153.67,153.71,153.67,5
1729763760000,107,153.6892,153.68,153.68,153.68,153.68,2
1729764060000,463,153.7775,153.77,153.75,153.77,153.75,9
1729764180000,1411,153.8482,153.89,153.76,153.96,153.75,23
1729764240000,145,153.9184,153.94,153.94,153.94,153.94,4
1729764300000,1925,153.7654,153.8,153.75,153.85,153.75,21
1729764360000,1137,153.7379,153.67,153.75,153.75,153.67,11
1729764420000,659,153.759,153.75,153.76,153.76,153.75,6
1729764480000,149,153.7501,153.75,153.75,153.75,153.75,3
1729764540000,754,153.75,153.75,153.75,153.75,153.75,5
1729764600000,4261,153.6736,153.74,153.49,153.75,153.49,19
1729764840000,118,153.3917,153.44,153.44,153.44,153.44,3
1729765080000,1614,153.0205,153.06,153,153.06,153,21
1729765140000,1844,153.1337,153.06,153.15,153.15,153.01,29
1729765200000,1565,153.284,153,153.4,153.4,153,22
1729765260000,1563,153.4443,153.4,153.45,153.45,153.4,10
1729765380000,4000,153.0081,153.16,153,153.16,153,23
1729765440000,1776,153.0251,153.2,153,153.2,153,22
1729765500000,210,153.1857,153.19,153.2,153.2,153.19,3
1729765740000,670,153.0072,153.02,153,153.02,153,10
1729765920000,124,153.1452,153.18,153.18,153.18,153.18,2
1729766760000,7787,153.0319,153.05,153,153.05,153,19
1729766820000,138,152.8106,152.8,152.8,152.8,152.8,9
1729766940000,535,152.7445,152.74,152.74,152.74,152.74,14
1729767120000,300,152.977,152.94,153,153,152.94,3
1729767180000,1809,152.8065,152.66,152.99,153,152.5,36
1729767300000,460,152.9066,152.91,152.93,152.96,152.91,11
1729767480000,777,152.8324,152.88,152.77,152.88,152.77,10
1729767540000,281,152.7451,152.75,152.75,152.75,152.75,8
1729767600000,25475,152.9856,152.8,153,153.4,152.5,460
1729767660000,2586,153.0225,153.01,153,153.16,153,32
1729767720000,7309,152.5564,152.88,152.5,152.88,152.5,76
1729767780000,1837,152.5389,152.53,152.5,152.65,152.5,49
1729767840000,13765,152.1527,152.5,152.01,152.5,151.97,289
1729767900000,13773,152.0182,152.2,152,152.2,151.88,100
1729767960000,6922,152.042,152,152.05,152.2,152,77
1729768020000,536,152.1115,152.05,152.1,152.1,152.05,18
1729768080000,1157,152.1497,152.2,152.05,152.2,152.05,29
1729768140000,10143,152.028,152.2,152,152.2,152,94
1729768200000,5584,152.0119,152.06,152,152.12,152,50
1729768260000,1104,151.9792,151.98,151.98,151.98,151.98,13
1729768320000,1313,151.9841,151.91,152,152,151.91,15
1729768380000,2281,151.9943,152,152.01,152.01,151.97,18
1729768440000,12590,151.8093,151.95,151.75,151.95,151.75,118
1729768500000,4628,151.9599,151.89,151.9,152,151.89,48
1729768560000,3887,151.8292,151.87,151.8,151.88,151.76,52
1729768620000,1456,151.7316,151.8,151.72,151.8,151.72,57
1729768680000,2317,151.7043,151.66,151.72,151.78,151.61,49
1729768740000,4821,151.6845,151.7,151.71,151.72,151.66,34
1729768860000,3163,151.6597,151.65,151.65,151.7,151.65,18
1729768920000,7817,151.6718,151.71,151.61,151.72,151.61,45
1729768980000,11740,151.4913,151.56,151.3,151.56,151.3,193
1729769040000,2558,151.2774,151.34,151.25,151.34,151.25,31
1729769100000,2943,151.2962,151.29,151.23,151.34,151.23,43
1729769160000,226,151.3021,151.33,151.33,151.33,151.33,8
1729769220000,239,151.3196,151.31,151.33,151.33,151.31,5
1729769280000,9196,151.3388,151.32,151.34,151.34,151.32,24
1729769340000,2952,151.2041,151.33,151.21,151.33,151.11,98
1729769400000,11473,151.0205,151.11,151,151.11,151,227
1729769460000,1406,151.0503,151.01,151.14,151.14,151.01,16
1729769520000,1183,151.1223,151.16,151.11,151.16,151.11,21
1729769580000,1260,151.0964,151.11,151.14,151.14,151.06,29
1729769640000,4583,151.0961,151.1,151.08,151.1,151.08,23
1729769700000,6137,151.0196,151.04,151.1,151.1,150.97,91
1729769760000,2589,150.9984,151,151,151.02,150.99,38
1729769820000,9271,150.9988,151,151,151,150.99,41
1729769880000,398,151.1225,151.1,151.1,151.1,151.1,12
1729769940000,3109,151.2506,151.18,151.28,151.28,151.18,34
1729770000000,1877,151.3889,151.28,151.4,151.46,151.28,30
1729770060000,2024,151.5074,151.5,151.5,151.55,151.49,32
1729770120000,519,151.4588,151.45,151.45,151.45,151.45,16
1729770180000,569,151.3343,151.34,151.34,151.34,151.34,21
1729770240000,1885,151.1462,151.2,151.1,151.2,151.1,34
1729770300000,9405,151.0128,151.1,150.92,151.1,150.9,125
1729770360000,1223,150.9634,150.99,150.94,151,150.92,27
1729770420000,2574,150.8684,150.88,150.88,150.88,150.84,37
1729770480000,620,150.997,150.98,150.98,150.98,150.98,22
1729770540000,2491,151.0402,151.04,150.98,151.07,150.98,56
1729770600000,358,150.9936,150.98,151,151,150.98,8
1729770660000,3329,151.0081,151,151.07,151.07,150.99,30
1729770720000,2209,151.0498,151.07,151,151.07,151,41
1729770840000,350,151.0155,151.04,151.04,151.04,151.04,21
1729770900000,1199,150.9926,151,151,151,150.99,30
1729770960000,2181,151.0057,151,150.96,151.05,150.96,30
1729771020000,1523,150.9179,150.96,150.88,151,150.88,47
1729771080000,319,150.9288,150.94,150.94,150.94,150.94,9
1729771140000,526,150.9756,150.95,151,151,150.95,15
1729771200000,128985,151.5447,153,151,153.26,150.25,1903
1729771260000,7826,151.0352,150.75,151,151.04,150.75,59
1729771320000,16161,151.0789,151.05,151.3,151.3,151.02,112
1729771380000,2025,151.4416,151.4,151.4,151.5,151.39,45
1729771440000,7503,151.6748,151.49,152,152,151.44,99
1729771500000,2580,151.6874,151.6,151.71,151.9,151.5,42
1729771560000,8544,151.9917,151.8,151.88,152.2,151.78,106
1729771620000,2112,151.9073,151.88,151.9999,151.9999,151.86,42
1729771680000,7909,152.1698,152.1,152.44,152.44,152,73
1729771740000,1925,152.3442,152.35,152.35,152.35,152.35,21
1729771800000,2429,152.1903,152.23,152.3001,152.3001,152.1001,50
1729771860000,6187,152.3331,152.4,152.3,152.43,152.3,52
1729771920000,2215,152.2237,152.43,152.2,152.43,152.2,37
1729771980000,14201,152.3804,152.19,152.5,152.5,152.19,119
1729772040000,6334,152.7455,152.5,152.62,152.87,152.5,75
1729772100000,2880,152.7685,152.75,152.8416,152.8685,152.7101,43
1729772160000,2334,152.7649,152.72,152.79,152.79,152.71,44
1729772220000,5585,152.7541,152.76,152.65,152.82,152.55,79
1729772280000,2413,152.6206,152.8,152.5,152.8,152.39,35
1729772340000,1709,152.4357,152.5,152.4,152.5,152.37,36
1729772400000,2766,152.3799,152.4,152.3655,152.4,152.3655,12
1729772460000,4431,152.3453,152.36,152.3,152.5,152.3,51
1729772520000,2745,152.2967,152.3,152.25,152.36,152.25,39
1729772580000,254,152.1071,152.01,152.01,152.01,152.01,11
1729772640000,3245,152.1952,152.16,152.22,152.28,152.16,34
1729772700000,1535,152.2899,152.35,152.3,152.35,152.2401,15
1729772760000,7420,152.4538,152.2608,152.5,152.5,152.26,54
1729772820000,4336,152.6536,152.6799,152.6,152.68,152.57,41
1729772880000,5357,152.5741,152.5701,152.57,152.6,152.57,50
1729772940000,479,152.547,152.57,152.55,152.57,152.55,13
1729773000000,1517,152.4645,152.4,152.4999,152.5,152.4,27
1729773060000,1600,152.5001,152.5,152.55,152.55,152.5,31
1729773120000,1697,152.5119,152.55,152.48,152.55,152.48,28
1729773180000,1660,152.4245,152.4001,152.4,152.48,152.4,20
1729773240000,2916,152.5551,152.48,152.68,152.68,152.48,36
1729773300000,796,152.6942,152.77,152.74,152.77,152.59,25
1729773360000,4154,152.7827,152.74,152.85,152.85,152.74,49
1729773420000,2894,152.8332,152.8,152.85,152.85,152.79,36
1729773480000,15769,153.001,152.94,153.2,153.2,152.87,124
1729773540000,15124,153.5431,153.24,153.57,153.82,153.23,300
1729773600000,10156,153.7066,153.72,153.8,153.8,153.5501,72
1729773660000,10706,153.9653,153.82,154,154.01,153.82,131
1729773720000,5324,153.7148,153.92,153.57,154,153.45,88
1729773780000,10187,153.5483,153.7,153.38,153.7,153.38,129
1729773840000,1726,153.2764,153.1911,153.19,153.5,153.19,26
1729773900000,1882,153.6089,153.6,153.505,153.65,153.505,26
1729773960000,1659,153.654,153.69,153.7,153.7,153.513,37
1729774020000,5837,153.6544,153.5001,153.63,153.7,153.5001,50
1729774080000,10722,153.9056,153.57,154,154.3,153.57,89
1729774140000,9223,154.3638,154.37,154.1,154.55,153.8245,79
1729774200000,3060,154.0297,154.0101,153.81,154.25,153.81,52
1729774260000,3998,153.8051,154.1,153.9,154.1,153.63,68
1729774320000,4330,153.9241,153.94,153.84,154,153.74,67
1729774380000,4623,153.4319,153.7,153.21,153.7,153.21,81
1729774440000,2583,153.6663,153.64,153.65,153.7,153.5001,26
1729774500000,2133,153.5158,153.65,153.5,153.65,153.5,18
1729774560000,3828,153.7642,153.56,154,154,153.53,47
1729774620000,5651,153.9617,154,154,154,153.84,54
1729774680000,1236,153.7196,153.75,153.8,153.8,153.6451,35
1729774740000,1094,153.6873,153.71,153.7,153.71,153.7,22
1729774800000,1306,153.6629,153.6313,153.6,153.8,153.6,27
1729774860000,1579,153.6018,153.6,153.6,153.6,153.6,24
1729774920000,2510,153.6283,153.77,153.5,153.77,153.5,52
1729774980000,2470,153.3731,153.5,153.28,153.5,153.28,29
1729775040000,5301,153.2997,153.41,153.35,153.5,153.11,88
1729775100000,2736,153.2948,153.3001,153.3,153.3001,153.25,33
1729775160000,2670,153.2023,153.2,153.3,153.3,153.1,29
1729775220000,2144,153.2053,153.25,153.1,153.3,153.1,38
1729775280000,7071,153.159,153.12,153.4,153.4,153,87
1729775340000,500,153.4858,153.49,153.49,153.49,153.49,13
1729775400000,636,153.296,153.31,153.26,153.31,153.25,19
1729775460000,3316,153.2582,153.254,153.24,153.31,153.24,45
1729775520000,1977,153.2074,153.25,153.18,153.25,153.18,32
1729775580000,2773,153.0655,153.25,153,153.25,152.95,48
1729775640000,3242,152.9678,152.95,152.94,153.0999,152.9101,24
1729775700000,3539,153.0978,152.92,152.98,153.22,152.92,43
1729775760000,996,153.1532,153.2299,153.2204,153.23,153.11,20
1729775820000,629,153.1069,153.23,153.23,153.23,153.23,27
1729775880000,466,153.1902,153.2005,153.23,153.23,153.2005,23
1729775940000,6715,153.0404,153.1999,152.96,153.2,152.96,77
1729776000000,1008,152.9357,152.95,152.9,153,152.9,33
1729776060000,5961,152.752,152.89,152.5,152.9,152.5,139
1729776120000,7500,152.473,152.5,152.4,152.5,152.4,102
1729776180000,2854,152.4486,152.5,152.5,152.5,152.38,45
1729776240000,1139,152.4759,152.38,152.4999,152.5,152.38,29
1729776300000,616,152.5567,152.5,152.5,152.5,152.5,18
1729776360000,1094,152.7597,152.9,152.7,152.9,152.69,24
1729776480000,560,152.8192,152.88,152.88,152.88,152.88,37
1729776540000,1163,152.7402,152.85,152.7,152.85,152.7,19
1729776600000,253794,152.8267,152.61,153.47,153.5,152.41,2085
1729776660000,81421,153.7324,153.2401,153.9075,154.35,153.17,858
1729776720000,121174,153.334,153.97,152.5,154.21,152.5,1449
1729776780000,145664,152.35,152.44,153.105,153.17,151.98,1919
1729776840000,68125,152.9512,153.0394,153.03,153.44,152.5001,913
1729776900000,46281,153.2437,153,153.36,153.58,153,732
