time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,583,177.4979,177.5,177.5,177.5,177.5,11
1729670520000,817,177.5619,177.56,177.5,177.56,177.5,14
1729670640000,192,177.6383,177.52,177.52,177.52,177.52,6
1729671000000,260,177.8785,177.88,177.88,177.88,177.88,5
1729674600000,1313,177.5176,177.55,177.5,177.55,177.4,25
1729675020000,1090,177.2215,177.26,177.2,177.26,177.2,10
1729675200000,101,177.0614,177.06,177.06,177.06,177.06,2
1729675980000,230,176.8261,176.81,176.81,176.81,176.81,11
1729677120000,369,176.6493,176.63,176.62,176.63,176.62,10
1729678740000,870,176.459,176.45,176.46,176.46,176.45,6
1729680540000,197,176.503,176.5,176.5,176.5,176.5,2
1729681200000,496,177.0392,177.16,177.16,177.16,177.16,36
1729681260000,784,177.0065,177,177,177,177,10
1729681320000,3762,176.624,176.9,176.5,176.9,176.5,41
1729682520000,203,176.9004,176.9,176.9,176.9,176.9,2
1729683060000,801,177.1134,177.08,177.24,177.24,177.08,9
1729683120000,283,176.911,176.91,176.91,176.91,176.91,3
1729683180000,425,177.2094,177.2,177.2,177.2,177.2,4
1729683240000,631,177.2349,177.24,177.24,177.24,177.24,8
1729683300000,1000,177.2815,177.24,177.3,177.3,177.24,3
1729683480000,2140,177.0014,177.01,177,177.01,177,9
1729683540000,307,177,177,177,177,177,13
1729684140000,185,177.233,177.24,177.24,177.24,177.24,7
1729684800000,10760,177.1121,177,177.21,178.5,176.51,252
1729684860000,527,177.583,177.18,177.1,177.18,177.1,14
1729684920000,231,177.0533,177.06,177.06,177.06,177.06,22
1729684980000,405,177.1741,177.15,177.15,177.15,177.15,8
1729685040000,325,177.0557,177.0395,177.0395,177.0395,177.0395,2
1729685220000,554,177.2354,177.25,177.25,177.25,177.25,5
1729685340000,323,177.0223,177,177,177,177,6
1729685400000,165,177.1688,177.2,177.2,177.2,177.2,4
1729685460000,148,177.0182,177,177,177,177,7
1729685820000,282,177.0934,177.1,177.1,177.1,177.1,15
1729685940000,758,177.0405,177.03,177.02,177.03,177.02,19
1729686000000,153,177.0739,177.01,177.01,177.01,177.01,4
1729686120000,1065,177.0986,177.08,177.08,177.16,177.08,6
1729686240000,1360,177.018,177.05,177.01,177.05,177.01,7
1729686480000,116,177.1979,177.2,177.2,177.2,177.2,3
1729686540000,1381,177.1927,177.1999,177.2,177.2,177.1999,4
1729686600000,314,177.0403,177,177,177,177,8
1729686720000,120,177.0167,177,177,177,177,2
1729686960000,1467,176.9206,177.02,176.9,177.02,176.9,10
1729687320000,500,176.89,176.89,176.89,176.89,176.89,1
1729687380000,359,176.8201,176.81,176.81,176.81,176.81,12
1729687560000,275,176.8758,176.9,176.9,176.9,176.9,10
1729687620000,110,176.8,176.8,176.8,176.8,176.8,1
1729687680000,900,176.87,176.87,176.87,176.87,176.87,1
1729687800000,110,176.9418,176.94,176.94,176.94,176.94,2
1729687860000,503,176.9839,176.96,177,177,176.96,7
1729688100000,1856,177.0937,176.95,177.2,177.2,176.95,22
1729688160000,191,177.1765,177.18,177.18,177.18,177.18,6
1729688220000,517,177.1248,177.18,177.18,177.18,177.18,12
1729688400000,145,177.1473,177.1481,177.1481,177.1481,177.1481,3
1729688580000,330,177.012,177.01,177.01,177.01,177.01,3
1729688640000,2421,177.148,177.15,177.15,177.15,177.15,14
1729688700000,642,177.162,177.18,177.18,177.18,177.18,15
1729688940000,252,177.1517,177.16,177.16,177.16,177.16,8
1729689120000,481,177.18,177.18,177.18,177.18,177.18,7
1729689300000,594,177.2932,177.3,177.3,177.3,177.3,11
1729689360000,351,177.2181,177.2,177.2,177.2,177.2,7
1729689420000,1262,177.3209,177.3,177.3,177.3,177.3,26
1729689480000,747,177.3552,177.4,177.4,177.4,177.4,29
1729689540000,2029,177.5002,177.54,177.69,177.69,177.4,78
1729689600000,1569,177.6415,177.63,177.63,177.65,177.63,51
1729689660000,567,177.3919,177.32,177.7196,177.7196,177.32,14
1729689720000,812,177.5422,177.64,177.48,177.64,177.48,7
1729689780000,357,177.4094,177.4,177.4,177.4,177.4,10
1729689960000,2806,177.9456,177.7,178,178,177.7,61
1729690020000,755,178.0087,178,178,178,178,22
1729690080000,3674,178.6779,178.3,178.68,178.88,178.3,82
1729690140000,13459,179.2708,178.55,179.75,179.75,178.49,112
1729690200000,288987,180.44,179.7,180.655,181.77,179.615,1825
1729690260000,87117,180.5277,180.49,180.31,181.31,179.76,1266
1729690320000,81915,180.3726,180.15,180.45,180.84,179.9,1005
1729690380000,67991,180.8177,180.52,180.5,181.44,180.365,994
1729690440000,74245,180.5181,180.77,180.21,180.85,180.0783,1089
1729690500000,87347,180.7238,180.1718,181.055,181.32,179.8,1245
1729690560000,33593,180.8575,181.06,180.36,181.25,180.3501,630
1729690620000,33981,180.7277,180.44,181.03,181.09,180.3889,561
1729690680000,66442,181.3884,180.9624,181.6624,181.68,180.93,907
1729690740000,103545,181.8936,181.77,181.835,182.1,181.661681,1409
1729690800000,54097,181.2974,181.9,180.7501,181.91,180.75,765
1729690860000,65671,180.7404,180.835,180.66,180.97,180.48,807
1729690920000,34444,180.9059,180.674,181.14,181.16,180.66,483
1729690980000,32193,181.3618,181.145,181.59,181.68,181.081,565
1729691040000,49240,181.9028,181.59,181.95,182.19,181.51,794
1729691100000,22181,181.6803,181.9656,181.49,181.985,181.49,425
1729691160000,26606,181.231,181.49,181.04,181.49,181.04,471
1729691220000,25425,181.4386,181.04,181.575,181.64,181.01,421
1729691280000,23176,181.4954,181.65,181.47,181.7067,181.36,403
1729691340000,30089,181.3601,181.49,181.32,181.5,181.1401,555
1729691400000,25822,181.1712,181.29,181.205,181.29,181.03,448
1729691460000,23963,181.0965,181.205,180.925,181.29,180.81,484
1729691520000,23704,180.9627,180.925,181.09,181.13,180.7524,462
1729691580000,43132,181.3399,181.1299,181.5089,181.62,181.05,613
1729691640000,31915,181.4741,181.47,181.42,181.59,181.37,505
1729691700000,26252,181.5383,181.47,181.65,181.8,181.3002,479
1729691760000,48670,182.1188,181.71,182.25,182.41,181.65,674
1729691820000,59513,182.2472,182.23,182.37,182.43,182.0001,643
1729691880000,32860,182.4264,182.38,182.475,182.5837,182.25,578
1729691940000,33587,182.0218,182.45,181.96,182.45,181.7301,560
1729692000000,22293,181.8624,181.98,181.51,181.98,181.51,454
1729692060000,22014,181.8094,181.5206,182.18,182.2066,181.5206,509
1729692120000,24424,182.0664,182.13,182.02,182.2389,181.97,369
1729692180000,22020,181.7677,182.02,181.82,182.02,181.59,438
1729692240000,28752,181.6055,181.9,181.59,182,181.42,590
1729692300000,19889,181.7593,181.61,181.71,181.9199,181.61,410
1729692360000,15100,181.6036,181.71,181.4543,181.71,181.44,333
1729692420000,20267,181.5823,181.46,181.585,181.66,181.43,319
1729692480000,29253,181.4846,181.585,181.4639,181.585,181.3,370
1729692540000,16599,181.2063,181.44,181.03,181.44,181,420
1729692600000,30828,180.9558,181.01,180.848,181.11,180.68,432
1729692660000,19009,181.056,180.83,181.25,181.2987,180.83,323
1729692720000,23789,181.1432,181.24,181.03,181.27,181.03,330
1729692780000,17624,181.1598,181.05,181.225,181.299,181.05,321
1729692840000,21174,181.241,181.29,181.265,181.33,181.16,384
1729692900000,32951,181.6236,181.31,181.85,181.925,181.31,526
1729692960000,41918,181.8732,181.85,181.82,182.08,181.73,597
1729693020000,29753,181.9778,181.87,181.95,182.1795,181.77,457
1729693080000,20255,181.9261,181.98,181.83,182.04,181.74,317
1729693140000,24719,181.9104,181.82,181.915,181.9999,181.77,404
1729693200000,17616,181.8506,181.88,181.67,181.95,181.67,294
1729693260000,12231,181.7874,181.7,181.8663,181.885,181.7,229
1729693320000,16966,181.9388,181.92,181.935,182,181.86,307
1729693380000,21417,181.9166,181.96,181.8554,182.03,181.67,350
1729693440000,10888,181.8398,181.89,181.87,181.94,181.74,212
1729693500000,32998,181.8196,181.95,181.78,181.95,181.72,257
1729693560000,18577,181.7398,181.784,181.82,181.835,181.63,358
1729693620000,23510,182.0283,181.86,182.27,182.29,181.83,382
1729693680000,27469,182.4038,182.3,182.345,182.54,182.2501,446
1729693740000,18752,182.4583,182.345,182.62,182.62,182.34,391
1729693800000,14455,182.4258,182.58,182.365,182.58,182.31,289
1729693860000,14789,182.3666,182.35,182.32,182.46,182.31,303
1729693920000,10121,182.1898,182.28,182.18,182.28,182.085,231
1729693980000,23528,182.3624,182.14,182.61,182.61,182.05,457
1729694040000,15684,182.6114,182.57,182.63,182.79,182.45,336
1729694100000,22710,182.661,182.6159,182.698,182.75,182.575,363
1729694160000,23931,182.6857,182.688821,182.675,182.74,182.65,346
1729694220000,22583,182.8094,182.67,182.851,182.91,182.67,353
1729694280000,6804,182.8271,182.805,182.91,182.91,182.796,176
1729694340000,42137,183.0369,182.885,183.185,183.24,182.885,549
1729694400000,31842,183.272,183.24,183.29,183.36,183.2163,444
1729694460000,21486,183.3078,183.32,183.3639,183.4,183.22,406
1729694520000,22450,183.3823,183.43,183.2772,183.47,183.2772,368
1729694580000,24609,183.227,183.2701,183.07,183.36,183.07,341
1729694640000,21577,183.1142,183.07,183.195,183.195,183,385
