time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729671120000,995,231.8718,232,232,232,232,22
1729671360000,1152,231.8913,231.94,232,232,231.94,31
1729674000000,170,232,232,232,232,232,2
1729681200000,824,231.8334,231.82,231.81,231.82,231.81,32
1729681260000,516,231.8609,231.86,231.86,231.86,231.86,9
1729684800000,1035,231.5645,232,232,232,232,49
1729684860000,204,232.2463,232.25,232.25,232.25,232.25,2
1729684920000,158,232.0272,232.0007,232.0007,232.0007,232.0007,19
1729685400000,200,232.175,232.25,232.25,232.25,232.25,3
1729685640000,1129,232.0001,232,232,232,232,7
1729687980000,1612,231.3085,231.51,231.1,231.51,231.1,18
1729689660000,374,231.3465,231.35,231.35,231.35,231.35,15
1729690080000,905,231.1637,231.1,231.1,231.1,231.1,20
1729690140000,2782,230.6598,231.1,230.35,231.1,230.35,40
1729690200000,110239,230.5048,230.41,231.0795,231.23,230.26,708
1729690260000,6947,231.0145,231.175,230.895,231.175,230.41,147
1729690320000,7697,230.9686,230.9021,230.705,231.23,230.63,226
1729690380000,8456,231.1071,230.66,231.27,231.58,230.55,204
1729690440000,9907,231.1229,231.37,230.915,231.47,230.77,243
1729690500000,22807,230.8839,230.932,230.78,231.04,230.59,392
1729690560000,16719,230.8749,230.6,231.105,231.105,230.59,335
1729690620000,16153,230.9714,231.01,230.855,231.12,230.83,246
1729690680000,14959,230.9743,230.87,230.87,231.04,230.84,238
1729690740000,11429,231.0545,230.88,231.195,231.312,230.88,244
1729690800000,5141,231.0273,231.2,231.03,231.2,230.955,120
1729690860000,6314,230.8946,230.97,230.79,231.01,230.79,145
1729690920000,12252,230.7701,230.76,230.915,230.93,230.62,285
1729690980000,6308,231.2218,231.11,231.15,231.29,231.09,127
1729691040000,3828,231.0903,231.1525,231.08,231.1525,231,73
1729691100000,7251,231.2029,231.01,231.32,231.45,231.01,199
1729691160000,4589,231.216,231.33,231.1301,231.33,231.1301,131
1729691220000,12545,231.1513,231.11,231.115,231.31,231.05,288
1729691280000,4260,231.1316,231.07,231.12,231.2138,231.04,157
1729691340000,7273,231.2299,231.12,231.37,231.39,231.12,231
1729691400000,51044,231.4224,231.37,231.36,231.53,231.27,604
1729691460000,8802,231.3338,231.425,231.15,231.48,231.15,238
1729691520000,2106,231.1638,231.19,231.17,231.2,231.0501,115
1729691580000,16818,231.1071,231.08,231.21,231.24,231,342
1729691640000,6163,231.1994,231.21,231.17,231.235,231.12,170
1729691700000,13197,231.1557,231.15,231.24,231.27,231,301
1729691760000,4111,231.271,231.2036,231.335,231.35,231.2,148
1729691820000,2533,231.2923,231.27,231.31,231.334,231.27,136
1729691880000,8240,231.2914,231.3448,231.29,231.3448,231.24,244
1729691940000,25767,231.3617,231.33,231.41,231.46,231.28,361
1729692000000,23912,231.4195,231.41,231.64,231.64,231.31,388
