time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,288,69.7458,69.8,69.8,69.8,69.8,18
1729670460000,1754,69.5342,69.56,69.56,69.6,69.49,65
1729670520000,794,69.5967,69.63,69.58,69.63,69.58,39
1729670580000,952,69.5332,69.53,69.53,69.53,69.53,48
1729670700000,917,69.5129,69.53,69.5,69.53,69.5,32
1729670760000,124,69.5106,69.51,69.51,69.51,69.51,6
1729671060000,2879,69.5009,69.5,69.5,69.5,69.5,20
1729671120000,463,69.482,69.5,69.46,69.5,69.46,18
1729671480000,111,69.47,69.47,69.47,69.47,69.47,2
1729672440000,190,69.4321,69.43,69.43,69.43,69.43,3
1729673100000,270,69.4429,69.44,69.44,69.44,69.44,6
1729673220000,432,69.4214,69.42,69.42,69.42,69.42,13
1729673400000,411,69.4203,69.42,69.42,69.42,69.42,6
1729673820000,188,69.4852,69.49,69.49,69.49,69.49,3
1729674240000,101,69.4402,69.44,69.44,69.44,69.44,2
1729674480000,238,69.43,69.43,69.43,69.43,69.43,2
1729674600000,252,69.4301,69.43,69.43,69.43,69.43,4
1729674780000,637,69.4309,69.44,69.43,69.44,69.43,23
1729675080000,132,69.4401,69.44,69.44,69.44,69.44,5
1729675140000,119,69.4403,69.44,69.44,69.44,69.44,2
1729675260000,506,69.4255,69.44,69.42,69.44,69.42,27
1729676700000,146,69.4796,69.48,69.48,69.48,69.48,2
1729676820000,303,69.4993,69.49,69.49,69.49,69.49,17
1729677720000,250,69.7493,69.75,69.75,69.75,69.75,12
1729677900000,500,69.6913,69.69,69.69,69.69,69.69,7
1729678020000,226,69.6751,69.67,69.67,69.67,69.67,16
1729678440000,365,69.6484,69.64,69.64,69.64,69.64,13
1729678560000,236,69.6648,69.68,69.68,69.68,69.68,6
1729678680000,413,69.722,69.72,69.72,69.72,69.72,11
1729678740000,181,69.7645,69.76,69.76,69.76,69.76,5
1729679160000,972,69.782,69.8,69.73,69.8,69.73,38
1729679220000,119,69.7216,69.72,69.72,69.72,69.72,5
1729679340000,101,69.731,69.73,69.73,69.73,69.73,2
1729679460000,1018,69.7366,69.72,69.72,69.72,69.72,21
1729679520000,1902,69.7205,69.72,69.73,69.73,69.72,9
1729679640000,144,69.73,69.73,69.73,69.73,69.73,2
1729680120000,1149,69.7673,69.77,69.77,69.77,69.77,28
1729680240000,200,69.8347,69.83,69.83,69.83,69.83,3
1729680420000,536,69.8452,69.84,69.84,69.85,69.84,18
1729680600000,741,69.8313,69.84,69.84,69.84,69.84,18
1729680660000,110,69.8355,69.84,69.84,69.84,69.84,2
1729680840000,718,69.7879,69.81,69.74,69.81,69.74,33
1729680900000,8868,69.7622,69.76,69.66,69.83,69.66,121
1729681020000,247,69.7962,69.83,69.78,69.83,69.78,9
1729681080000,17462,69.9525,69.83,70,70,69.83,122
1729681140000,12217,70.222,70.23,70.11,70.3,70.06,150
1729681200000,5404,70.0285,70.06,70.09,70.21,70,93
1729681260000,1400,70.0902,70.1,70.1,70.1,70.08,15
1729681320000,1103,70.0724,70.07,70.06,70.07,70.06,16
1729681380000,2135,70.1415,70.11,70.13,70.2,70.11,31
1729681440000,4352,70.0695,70.1,70.02,70.1,70,34
1729681500000,12953,69.9438,70.04,69.75,70.04,69.75,98
1729681560000,5639,69.7305,69.76,69.68,69.76,69.62,54
1729681620000,3161,69.6608,69.71,69.54,69.71,69.54,36
1729681680000,6296,69.4896,69.52,69.46,69.52,69.44,155
1729681740000,11895,68.9899,69.42,68.73,69.42,68.73,385
1729681800000,12546,68.7624,68.7,68.76,68.8,68.58,205
1729681860000,17411,68.3798,68.79,68.04,68.79,68.04,404
1729681920000,30854,67.8293,68.06,67.6,68.06,67.54,570
1729681980000,7805,67.6167,67.54,67.8,67.89,67.45,183
1729682040000,9135,67.8084,67.8,67.97,68,67.69,143
1729682100000,10862,67.8301,67.92,67.76,67.99,67.75,207
1729682160000,3450,67.9157,67.84,67.99,68,67.84,71
1729682220000,4003,67.9878,67.98,68,68,67.97,78
1729682280000,2087,67.9675,67.99,67.95,67.99,67.95,90
1729682340000,3064,67.9901,67.95,68,68,67.95,82
1729682400000,1271,67.997,68,68,68,68,53
1729682460000,799,67.9878,68,68,68,68,38
1729682520000,567,67.9765,67.97,67.98,67.98,67.97,22
1729682580000,4736,67.9993,68,68,68,67.99,48
1729682640000,7872,67.9668,67.99,67.89,68,67.89,174
1729682700000,11045,67.8081,67.87,67.95,67.98,67.75,146
1729682760000,591,67.9352,67.94,67.94,67.94,67.94,37
1729682820000,1082,67.9504,67.95,67.95,67.95,67.95,47
1729682880000,917,67.9772,67.97,67.98,67.98,67.97,10
1729682940000,4391,67.994,67.98,68,68,67.98,45
1729683000000,3047,67.9924,67.99,67.99,68,67.98,63
1729683060000,2923,67.9843,67.98,68,68,67.98,47
1729683120000,6072,67.9988,67.99,68,68,67.99,56
1729683180000,1848,67.9922,68,68,68,67.99,57
1729683240000,2843,67.9986,68,68,68,67.99,53
1729683300000,2450,67.9996,68,68,68,68,23
1729683360000,6364,67.9858,68,67.98,68,67.9,233
1729683420000,357,67.9499,67.95,67.95,67.95,67.95,5
1729683480000,8270,67.9949,67.91,68,68,67.91,67
1729683540000,1121,67.9991,68,68,68,67.99,22
