time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729757100000,950,426.5417,426.65,426.3,426.65,426.3,27
1729757160000,484,426.428,426.49,426.49,426.49,426.49,22
1729757280000,2874,426.4838,426.48,426.45,426.5,426.45,63
1729757400000,656,426.3735,426.36,426.37,426.37,426.35,22
1729757460000,562,426.2438,426.12,426.12,426.12,426.12,16
1729758600000,679,426.5621,426.5,426.5,426.5,426.5,15
1729758900000,253,426.8083,426.81,426.81,426.81,426.81,7
1729759560000,915,426.4962,426.51,426.5,426.51,426.5,42
1729759680000,445,426.0516,426.03,426.03,426.03,426.03,17
1729759800000,663,426.1866,426.4,426.01,426.4,426.01,27
1729759920000,660,426.0054,426,426,426,426,27
1729760880000,757,426.4763,426.5,426.5,426.5,426.5,21
1729761060000,766,426.4012,426.4,426.4,426.4,426.4,17
1729762500000,200,426.5504,426.57,426.57,426.57,426.57,12
1729762680000,1182,426.6792,426.57,426.71,426.71,426.57,19
1729765020000,312,426.6987,426.71,426.71,426.71,426.71,9
1729766520000,361,426.85,426.85,426.85,426.85,426.85,4
1729767600000,764,426.5186,426.43,426.43,426.43,426.43,51
1729767720000,1236,426.5988,426.48,426.62,426.62,426.48,20
1729767840000,480,426.4566,426.45,426.45,426.45,426.45,12
1729767900000,439,426.4875,426.49,426.49,426.49,426.49,17
1729767960000,1289,426.3446,426.4,426.36,426.4,426.36,67
1729768140000,485,426.2985,426.3,426.3,426.3,426.3,9
1729768200000,1362,426.3978,426.4,426.4,426.4,426.4,26
1729769100000,687,426.349,426.4,426.3,426.4,426.3,21
1729769220000,1091,426.4813,426.5,426.5,426.5,426.5,24
1729769760000,434,426.3028,426.3,426.3,426.3,426.3,11
1729769880000,619,426.3049,426.3,426.3,426.3,426.3,41
1729770180000,160,426.3329,426.33,426.33,426.33,426.33,11
1729770360000,206,426.2847,426.29,426.29,426.29,426.29,13
1729770480000,376,426.2967,426.3,426.3,426.3,426.3,7
1729770600000,328,426.3,426.3,426.3,426.3,426.3,10
1729770660000,213,426.2923,426.3,426.3,426.3,426.3,12
1729770720000,909,426.3831,426.3,426.4,426.4,426.3,22
1729770840000,353,426.505,426.5,426.5,426.5,426.5,12
1729771020000,655,426.332,426.25,426.25,426.25,426.25,17
1729771200000,20972,426.276,426.55,426.5,426.62,425.41,711
1729771260000,691,425.6327,425.38,425.4,425.4,425.12,121
1729771320000,306,425.9449,426.4,426.4,426.4,426.4,90
1729771380000,240,426.3525,426.2957,426.2957,426.2957,426.2957,12
1729771500000,354,426.4083,426.4,426.4,426.4,426.4,12
1729771560000,502,426.4079,426.43,426.35,426.43,426.35,24
1729771620000,506,426.4198,426.35,426.43,426.43,426.35,32
1729771740000,314,426.4212,426.4,426.4,426.4,426.4,16
1729771800000,556,426.3887,426.35,426.35,426.35,426.35,41
1729771860000,384,426.4412,426.49,426.49,426.49,426.49,35
1729771920000,511,426.4684,426.4694,426.4694,426.4694,426.4694,7
1729772040000,1612,426.3867,426.4,426.35,426.4,426.35,24
1729772100000,712,426.3335,426.4,426.3004,426.4,426.3004,18
1729772160000,415,426.4147,426.4,426.4,426.4,426.4,30
1729772280000,195,426.4226,426.4,426.4,426.4,426.4,12
1729772340000,291,426.4244,426.4,426.4,426.4,426.4,22
1729772400000,389,426.4293,426.4,426.4,426.4,426.4,24
1729772640000,513,426.3,426.3,426.3,426.3,426.3,45
1729772760000,141,426.2666,426.26,426.26,426.26,426.26,9
1729772820000,339,426.2697,426.25,426.25,426.25,426.25,19
1729772880000,1329,426.274,426.25,426.35,426.35,426.25,12
1729772940000,254,426.3094,426.31,426.31,426.31,426.31,14
1729773000000,862,426.3036,426.25,426.25,426.25,426.25,80
1729773060000,664,426.158,426.1,426.1,426.1,426.1,23
1729773120000,429,426.1382,426.13,426.13,426.13,426.13,11
1729773180000,1114,426.1177,426.1025,426.1025,426.1025,426.1025,11
1729773300000,911,426.4752,426.49,426.48,426.49,426.48,35
1729773360000,1173,426.4931,426.5,426.5,426.5,426.5,36
1729773420000,1328,426.5579,426.6814,426.48,426.6814,426.48,66
1729773480000,571,426.5318,426.4024,426.4024,426.4024,426.4024,22
1729773540000,883,426.5669,426.6896,426.6,426.6896,426.5,24
1729773600000,468,426.51,426.51,426.5003,426.51,426.5003,18
1729773660000,262,426.6502,426.69,426.64,426.69,426.64,14
1729773720000,355,426.5741,426.58,426.58,426.58,426.58,15
1729773780000,584,426.5866,426.6,426.6,426.6,426.6,31
1729773840000,775,426.5181,426.5007,426.5007,426.5007,426.5007,21
1729773900000,1295,426.4234,426.5,426.33,426.5,426.33,67
1729774020000,3049,426.2275,426.25,426.2,426.25,426.2,60
1729774080000,518,426.2498,426.25,426.25,426.25,426.25,30
1729774140000,495,426.2538,426.25,426.25,426.25,426.25,27
1729774200000,1645,426.2428,426.16,426.35,426.35,426.05,59
1729774320000,493,426.2998,426.3911,426.31,426.3911,426.31,29
1729774380000,450,426.2557,426.28,426.22,426.28,426.22,17
1729774560000,171,426.2993,426.265,426.265,426.265,426.265,14
