time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,14879,143.3242,143.11,143.35,143.48,143.11,314
1729670460000,13865,143.3286,143.35,143.3,143.45,143.22,441
1729670520000,27264,143.2611,143.3,143.19,143.4,143.19,360
1729670580000,10515,143.223,143.19,143.19,143.3,143.13,241
1729670640000,7876,143.2194,143.18,143.3,143.3,143.12,228
1729670700000,8149,143.3832,143.3,143.4,143.43,143.29,156
1729670760000,5980,143.3623,143.35,143.38,143.38,143.3,109
1729670820000,9582,143.3846,143.39,143.36,143.42,143.35,132
1729670880000,7791,143.3924,143.34,143.44,143.44,143.34,100
1729670940000,9247,143.4831,143.44,143.5,143.5,143.44,215
1729671000000,9024,143.4055,143.49,143.37,143.49,143.35,115
1729671060000,3213,143.3335,143.36,143.31,143.36,143.31,53
1729671120000,1708,143.3382,143.32,143.32,143.35,143.32,50
1729671180000,5403,143.3071,143.34,143.33,143.34,143.3,75
1729671240000,1194,143.306,143.31,143.3,143.31,143.3,24
1729671300000,9535,143.3118,143.33,143.3,143.35,143.3,138
1729671360000,3312,143.3325,143.3,143.35,143.4,143.3,53
1729671420000,3403,143.2964,143.31,143.28,143.31,143.28,49
1729671480000,4409,143.2686,143.27,143.24,143.3,143.24,80
1729671540000,12302,143.2013,143.23,143.2,143.24,143.18,135
1729671600000,1490,143.1955,143.19,143.2,143.2,143.17,43
1729671660000,1465,143.1995,143.18,143.22,143.23,143.18,35
1729671720000,2069,143.2524,143.25,143.26,143.26,143.25,36
1729671780000,3420,143.268,143.28,143.25,143.28,143.25,53
1729671840000,1566,143.2794,143.25,143.3,143.3,143.25,35
1729671900000,1310,143.304,143.28,143.33,143.33,143.28,36
1729671960000,981,143.3546,143.33,143.36,143.36,143.33,24
1729672020000,2760,143.376,143.39,143.36,143.39,143.36,66
1729672080000,1608,143.353,143.36,143.34,143.39,143.34,39
1729672140000,1136,143.3377,143.34,143.33,143.34,143.33,33
1729672200000,1475,143.3467,143.35,143.35,143.35,143.35,32
1729672260000,1429,143.3109,143.33,143.29,143.33,143.29,38
1729672320000,2034,143.2882,143.29,143.29,143.29,143.29,36
1729672380000,1208,143.2679,143.27,143.25,143.29,143.25,44
1729672440000,10875,143.3237,143.28,143.33,143.39,143.28,79
1729672500000,2569,143.2601,143.31,143.27,143.31,143.25,71
1729672560000,5970,143.2411,143.29,143.25,143.29,143.2,78
1729672620000,5126,143.2135,143.2,143.2,143.26,143.18,85
1729672680000,1441,143.2581,143.25,143.27,143.27,143.25,24
1729672740000,1490,143.2458,143.25,143.26,143.26,143.22,33
1729672800000,311,143.2426,143.22,143.22,143.22,143.22,14
1729672860000,1488,143.2499,143.26,143.22,143.28,143.22,40
1729672920000,1123,143.2239,143.23,143.2,143.23,143.2,28
