time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729756800000,32314,2.88,2.95,2.94,2.95,2.85,115
1729756860000,2378,2.8885,2.9,2.92,2.92,2.86,31
1729756920000,6149,2.863,2.86,2.87,2.87,2.85,63
1729756980000,6542,2.856,2.86,2.86,2.86,2.85,57
1729757040000,7983,2.8554,2.86,2.87,2.88,2.85,49
1729757100000,2060,2.8672,2.865,2.86,2.87,2.86,46
1729757160000,4659,2.8609,2.87,2.86,2.87,2.86,53
1729757220000,1432,2.8645,2.86,2.87,2.87,2.86,33
1729757280000,3636,2.8792,2.87,2.88,2.88,2.87,22
1729757340000,2806,2.8996,2.89,2.9,2.9,2.89,24
1729757400000,631,2.9092,2.91,2.91,2.91,2.91,22
1729757460000,3934,2.919,2.91,2.93,2.93,2.91,26
1729757580000,9360,2.9481,2.93,2.97,2.97,2.93,37
1729757640000,488,2.9621,2.96,2.96,2.96,2.96,7
1729757700000,16181,2.9567,2.97,2.96,2.97,2.94,37
1729757760000,3281,2.9727,2.97,2.97,2.98,2.97,22
1729757820000,1119,2.9616,2.97,2.97,2.97,2.95,13
1729757880000,853,2.9447,2.93,2.95,2.95,2.93,12
1729757940000,317,2.9495,2.95,2.95,2.95,2.95,7
1729758000000,441,2.9501,2.95,2.95,2.95,2.95,9
1729758060000,678,2.9528,2.96,2.96,2.96,2.96,15
1729758120000,417,2.96,2.96,2.96,2.96,2.96,10
1729758180000,348,2.96,2.96,2.96,2.96,2.96,5
1729758240000,221,2.96,2.96,2.96,2.96,2.96,7
1729758300000,2052,2.9253,2.93,2.92,2.93,2.92,8
1729758480000,527,2.9251,2.92,2.92,2.92,2.92,12
1729758600000,1210,2.9208,2.92,2.93,2.93,2.92,16
1729758660000,258,2.9161,2.91,2.91,2.91,2.91,6
1729758780000,1107,2.9045,2.9,2.9,2.91,2.9,18
1729758840000,127,2.9099,2.91,2.91,2.91,2.91,3
1729758900000,1400,2.9152,2.91,2.9,2.92,2.9,8
1729758960000,390,2.8994,2.9,2.9,2.9,2.9,7
1729759020000,239,2.9167,2.92,2.92,2.92,2.92,2
1729759140000,393,2.9144,2.92,2.9,2.92,2.9,3
1729759200000,646,2.9115,2.92,2.91,2.92,2.91,5
1729759260000,1087,2.9183,2.92,2.91,2.92,2.91,4
1729759320000,3290,2.9114,2.91,2.92,2.92,2.91,27
1729759380000,870,2.8909,2.89,2.89,2.89,2.89,18
1729759440000,635,2.8999,2.91,2.89,2.91,2.89,10
1729759500000,341,2.8959,2.91,2.89,2.91,2.89,8
1729759560000,221,2.8955,2.89,2.9,2.9,2.89,2
1729759620000,207,2.9,2.9,2.9,2.9,2.9,2
1729759680000,648,2.892,2.9,2.89,2.9,2.89,6
1729759740000,220,2.8903,2.89,2.89,2.89,2.89,4
1729759800000,228,2.89,2.89,2.89,2.89,2.89,3
1729760040000,696,2.89,2.89,2.89,2.89,2.89,28
1729760220000,1874,2.8806,2.88,2.89,2.89,2.88,14
1729760280000,717,2.88,2.88,2.88,2.88,2.88,7
1729760340000,7212,2.8726,2.88,2.87,2.88,2.87,40
1729760400000,2596,2.87,2.87,2.87,2.87,2.87,33
1729760460000,613,2.8614,2.86,2.86,2.86,2.86,10
1729760580000,208,2.87,2.87,2.87,2.87,2.87,4
1729760640000,3804,2.8626,2.87,2.86,2.87,2.86,36
1729760700000,5739,2.8531,2.86,2.85,2.86,2.85,20
1729760760000,2157,2.86,2.86,2.86,2.86,2.86,16
1729760820000,218,2.8627,2.86,2.86,2.86,2.86,7
1729760880000,513,2.8633,2.86,2.86,2.86,2.86,8
1729760940000,1508,2.87,2.87,2.87,2.87,2.87,10
1729761000000,337,2.86,2.86,2.86,2.86,2.86,3
1729761060000,710,2.8614,2.87,2.86,2.87,2.86,3
1729761120000,292,2.863,2.86,2.86,2.86,2.86,8
1729761180000,3530,2.87,2.87,2.87,2.87,2.87,22
1729761240000,662,2.87,2.87,2.87,2.87,2.87,8
1729761360000,9093,2.8608,2.87,2.86,2.87,2.85,62
1729761420000,625,2.86,2.86,2.86,2.86,2.86,8
1729761540000,1435,2.8599,2.86,2.86,2.86,2.86,9
1729761600000,723,2.86,2.86,2.86,2.86,2.86,4
1729761720000,276,2.8608,2.86,2.86,2.86,2.86,4
1729761780000,2103,2.8601,2.86,2.86,2.86,2.86,25
1729761840000,100,2.87,2.87,2.87,2.87,2.87,1
1729761960000,587,2.87,2.87,2.87,2.87,2.87,5
1729762020000,822,2.88,2.88,2.88,2.88,2.88,9
1729762080000,1869,2.8798,2.88,2.88,2.88,2.88,16
1729762140000,1029,2.89,2.89,2.89,2.89,2.89,17
1729762440000,455,2.8836,2.88,2.88,2.88,2.88,8
1729762500000,171,2.89,2.89,2.89,2.89,2.89,2
1729762560000,239,2.89,2.89,2.89,2.89,2.89,4
1729762620000,201,2.88,2.88,2.88,2.88,2.88,3
1729762740000,586,2.88,2.88,2.88,2.88,2.88,5
1729762800000,304,2.8799,2.88,2.88,2.88,2.88,4
1729763040000,466,2.8702,2.87,2.87,2.87,2.87,7
1729763220000,956,2.87,2.87,2.87,2.87,2.87,4
1729763280000,5342,2.8656,2.87,2.87,2.87,2.86,30
1729763340000,120,2.87,2.87,2.87,2.87,2.87,2
1729763460000,1686,2.87,2.87,2.87,2.87,2.87,12
1729763520000,1429,2.87,2.87,2.87,2.87,2.87,15
1729763640000,370,2.8747,2.88,2.87,2.88,2.87,3
1729763700000,602,2.87,2.87,2.87,2.87,2.87,9
1729763760000,215,2.8753,2.87,2.87,2.87,2.87,4
1729763820000,318,2.88,2.88,2.88,2.88,2.88,2
1729764060000,251,2.87,2.87,2.87,2.87,2.87,2
1729764240000,531,2.8787,2.88,2.88,2.88,2.88,8
1729764300000,391,2.87,2.87,2.87,2.87,2.87,7
1729764360000,579,2.8702,2.87,2.87,2.87,2.87,5
1729764480000,183,2.8707,2.87,2.87,2.87,2.87,4
1729764540000,300,2.8767,2.88,2.88,2.88,2.88,7
1729764660000,916,2.8745,2.88,2.88,2.88,2.88,20
1729764840000,674,2.8795,2.88,2.88,2.88,2.88,5
1729764900000,2580,2.8782,2.88,2.87,2.88,2.87,13
1729764960000,663,2.87,2.87,2.87,2.87,2.87,5
1729765020000,200,2.88,2.88,2.88,2.88,2.88,2
1729765140000,154,2.87,2.87,2.87,2.87,2.87,1
1729765260000,2655,2.8651,2.87,2.87,2.87,2.86,15
1729765320000,4272,2.86,2.86,2.86,2.86,2.86,23
1729765380000,3117,2.86,2.86,2.86,2.86,2.86,11
1729765500000,647,2.86,2.86,2.86,2.86,2.86,2
1729765620000,995,2.86,2.86,2.86,2.86,2.86,12
1729766100000,156,2.8699,2.87,2.87,2.87,2.87,5
1729766280000,284,2.8698,2.87,2.87,2.87,2.87,5
1729766340000,1214,2.87,2.87,2.87,2.87,2.87,6
1729766460000,230,2.87,2.87,2.87,2.87,2.87,4
1729766520000,319,2.8606,2.86,2.86,2.86,2.86,8
1729766700000,524,2.8687,2.87,2.87,2.87,2.87,10
1729766820000,507,2.86,2.86,2.86,2.86,2.86,7
1729766880000,150,2.86,2.86,2.86,2.86,2.86,1
1729767060000,1237,2.87,2.865,2.88,2.88,2.865,9
1729767120000,3281,2.8898,2.89,2.885,2.89,2.885,19
1729767180000,270,2.8878,2.885,2.89,2.89,2.885,3
1729767420000,105,2.88,2.88,2.88,2.88,2.88,2
1729767540000,200,2.89,2.89,2.89,2.89,2.89,3
1729767600000,20629,2.8958,2.88,2.93,2.94,2.88,114
1729767660000,8142,2.9344,2.92,2.93,2.94,2.92,29
1729767720000,2239,2.9156,2.92,2.91,2.93,2.91,22
1729767780000,1088,2.91,2.91,2.91,2.91,2.91,5
1729767900000,420,2.9055,2.9,2.9,2.9,2.9,6
1729767960000,753,2.9028,2.91,2.901,2.91,2.9,11
1729768020000,1552,2.9037,2.905,2.9,2.91,2.9,11
