time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,831,91.9999,92,92,92,92,50
1729670460000,1252,92.0036,91.97,92,92.02,91.97,39
1729670520000,742,91.9591,91.91,91.91,91.91,91.91,44
1729670580000,313,91.9394,91.85,91.85,91.85,91.85,30
1729670700000,1965,91.8986,91.9,91.9,91.9,91.9,80
1729670760000,506,91.8684,91.8,91.8,91.8,91.8,64
1729670820000,174,91.9074,91.9,91.9,91.9,91.9,9
1729670940000,713,91.9354,91.94,91.94,91.94,91.94,9
1729671000000,6280,91.9946,91.99,92,92,91.99,38
1729671060000,525,91.8492,91.85,91.85,91.85,91.85,24
1729671120000,1159,91.8468,91.85,91.85,91.85,91.85,21
1729671360000,152,91.8445,91.86,91.86,91.86,91.86,17
1729671420000,155,91.8517,91.85,91.85,91.85,91.85,7
1729671600000,892,91.8787,91.9,91.9,91.9,91.9,19
1729671660000,434,91.7912,91.73,91.73,91.73,91.73,18
1729671720000,712,91.7932,91.76,91.76,91.76,91.76,27
1729671780000,149,91.8502,91.85,91.85,91.85,91.85,5
1729671840000,364,91.8013,91.83,91.83,91.83,91.83,11
1729671900000,314,91.7885,91.83,91.83,91.83,91.83,9
1729672020000,291,91.7288,91.74,91.74,91.74,91.74,25
1729672200000,312,91.8704,91.85,91.88,91.88,91.85,3
1729672260000,227,91.7579,91.75,91.75,91.75,91.75,19
1729672320000,1083,91.8449,91.85,91.85,91.85,91.85,33
1729672380000,623,91.8744,91.88,91.89,91.89,91.88,13
1729672440000,305,91.8939,91.89,91.9,91.9,91.89,9
1729672560000,2665,91.6585,91.75,91.5,91.75,91.5,130
1729672620000,2768,91.3698,91.5,91.27,91.5,91.27,72
1729672680000,12557,91.0482,91.28,90.9,91.28,90.9,217
1729672740000,22840,91.1465,90.82,90.91,91.23,90.82,230
1729672800000,15145,91.117,91.01,91.14,91.19,90.96,164
1729672860000,4862,91.2136,91.22,91.2,91.3,91.06,61
1729672920000,581,91.0592,91.06,91.06,91.06,91.06,27
1729673040000,345,91.0146,91.01,91.01,91.01,91.01,18
1729673100000,1364,91.0091,91.01,91.01,91.01,91,16
1729673160000,968,91.0117,91.01,91.01,91.01,91.01,30
1729673280000,284,91.043,91.04,91.04,91.04,91.04,12
1729674300000,2114,91.5461,91.5,91.58,91.58,91.5,44
1729674360000,4851,91.6373,91.51,91.82,91.82,91.5,68
1729674720000,468,91.6042,91.6,91.6,91.6,91.6,10
1729674780000,1615,91.7693,91.71,91.82,91.82,91.71,25
1729674840000,437,91.8219,91.82,91.82,91.82,91.82,6
1729674900000,143,91.8212,91.82,91.82,91.82,91.82,6
1729675140000,2458,91.7906,91.82,91.8,91.82,91.8,23
1729675260000,348,91.674,91.67,91.67,91.67,91.67,7
1729675440000,716,91.8048,91.7,91.85,91.86,91.7,16
1729676100000,402,91.7098,91.72,91.72,91.72,91.72,20
1729676280000,577,91.5699,91.54,91.54,91.54,91.54,24
1729676340000,465,91.5311,91.53,91.53,91.53,91.53,12
1729676400000,733,91.5241,91.53,91.53,91.53,91.53,19
1729676520000,546,91.5326,91.54,91.55,91.55,91.54,13
1729676940000,236,91.4636,91.46,91.46,91.46,91.46,8
1729677000000,813,91.4631,91.49,91.44,91.49,91.44,16
1729677120000,516,91.4504,91.44,91.44,91.44,91.44,6
1729677180000,713,91.4962,91.49,91.5,91.5,91.49,11
1729677300000,526,91.5032,91.51,91.5,91.51,91.5,7
1729677540000,168,91.7791,91.78,91.78,91.78,91.78,8
1729677600000,2762,91.8646,91.78,91.9,91.9,91.78,52
1729677660000,735,91.9163,91.93,91.9,91.95,91.9,15
1729677720000,324,91.7527,91.75,91.75,91.75,91.75,6
1729677780000,1571,91.7074,91.66,91.6,91.66,91.6,31
1729677840000,552,91.7053,91.69,91.69,91.69,91.69,9
1729678080000,300,91.7517,91.81,91.81,91.81,91.81,5
1729678200000,1200,91.9407,91.81,91.98,91.99,91.81,17
1729678380000,1014,92.0103,91.99,92.05,92.05,91.99,34
1729678440000,789,92.1916,92.11,92.14,92.14,92.11,21
1729678500000,3485,92.2822,92.2,92.21,92.47,92.2,87
1729678560000,1380,92.1716,92.21,92.1,92.21,92.1,19
1729678680000,487,92.0374,92.02,92.09,92.09,92,12
1729678860000,264,92.1,92.1,92.1,92.1,92.1,6
1729678920000,200,92.05,92.1,92,92.1,92,2
1729678980000,320,92.1,92.1,92.1,92.1,92.1,2
1729679040000,208,92.026,92,92,92,92,9
1729679160000,932,92.1827,92.18,92.18,92.2,92.18,16
1729679280000,2945,92.1993,92.2,92.2,92.2,92.2,28
1729679460000,1719,92.0742,92.1,92.1,92.1,92,28
1729679640000,100,92.29,92.29,92.29,92.29,92.29,1
1729680000000,479,92.2019,92.24,92.24,92.24,92.24,15
1729680120000,690,92.1902,92.19,92.2,92.2,92.19,17
1729680420000,353,92.1532,92.15,92.15,92.15,92.15,14
1729680660000,294,92.1275,92.14,92.14,92.14,92.14,24
1729681020000,643,92.1745,92.15,92.2,92.2,92.15,12
1729681080000,2283,92.2872,92.29,92.29,92.29,92.29,8
1729681140000,9444,92.3042,92.29,92.2,92.33,92.2,41
1729681200000,7848,92.4535,92.26,92.46,92.56,92.26,126
1729681260000,3302,92.3894,92.46,92.35,92.46,92.35,32
1729681320000,338,92.2883,92.31,92.3,92.31,92.3,9
1729681380000,3185,92.3531,92.3,92.36,92.4,92.3,37
1729681440000,2601,92.4,92.4,92.4,92.4,92.4,12
1729681500000,136,92.3614,92.35,92.35,92.35,92.35,6
1729681560000,1188,92.3365,92.35,92.31,92.4,92.3,13
1729681620000,5110,92.413,92.4,92.47,92.47,92.4,35
1729681680000,307,92.5359,92.55,92.55,92.55,92.55,12
1729681740000,2955,92.541,92.55,92.52,92.58,92.51,33
1729681800000,3138,92.5244,92.55,92.5,92.55,92.5,36
1729681980000,4927,92.4373,92.47,92.55,92.55,92.4,50
1729682040000,904,92.5838,92.55,92.6,92.6,92.55,15
1729682100000,8763,92.7465,92.68,92.8,92.8,92.66,78
1729682160000,6668,92.7812,92.76,92.89,92.89,92.74,68
1729682220000,9221,92.9825,92.94,93.13,93.13,92.86,86
1729682280000,3087,93.239,93.12,93.25,93.37,93.12,58
1729682340000,2155,93.1249,93.19,93.05,93.19,93.05,41
1729682400000,1901,93.0585,93.12,93.04,93.12,93.04,75
1729682460000,1444,92.9216,92.94,92.92,92.94,92.91,26
1729682520000,290,92.9159,92.94,92.94,92.94,92.94,4
1729682580000,2982,92.938,92.94,93.05,93.05,92.85,53
1729682640000,1195,93.0745,93.11,93.05,93.11,93.05,37
1729682700000,776,93.0207,93.02,93,93.02,93,9
1729682760000,724,93.0206,93.01,93.01,93.02,93.01,11
1729682820000,3117,93.0146,93,93,93.04,93,44
1729682880000,1922,92.9623,92.97,92.95,92.97,92.95,37
1729682940000,2146,92.9141,92.9,92.93,92.93,92.9,20
1729683000000,261,92.9184,92.92,92.92,92.92,92.92,6
1729683060000,4476,92.968,92.93,93,93,92.93,46
1729683120000,2056,93.0105,93,93,93.05,93,22
1729683180000,652,92.987,93,93,93,92.93,9
1729683300000,666,92.9219,92.92,92.93,92.93,92.92,7
1729683360000,1206,93.0005,92.94,93.05,93.05,92.94,15
1729683420000,1670,93.0033,93,93.04,93.04,93,23
1729683480000,5621,93.1588,93,93.29,93.29,93,51
1729683540000,4106,93.4138,93.3,93.47,93.49,93.3,133
1729683600000,8344,93.6851,93.36,93.75,93.94,93.36,162
1729683660000,1165,93.6774,93.57,93.69,93.69,93.57,23
1729683720000,1033,93.5672,93.6,93.56,93.6,93.56,9
1729683780000,1317,93.5244,93.56,93.5,93.56,93.5,13
1729683840000,2588,93.4939,93.5,93.49,93.5,93.49,34
1729683900000,2067,93.4556,93.48,93.43,93.48,93.42,21
1729683960000,1204,93.3815,93.35,93.35,93.36,93.35,34
1729684020000,603,93.3226,93.32,93.32,93.32,93.32,7
1729684080000,862,93.3137,93.33,93.3,93.33,93.3,25
1729684320000,1932,93.4145,93.35,93.48,93.48,93.35,33
1729684380000,1673,93.3812,93.4,93.35,93.4,93.35,24
1729684440000,1011,93.3889,93.36,93.38,93.41,93.35,15
1729684500000,753,93.4112,93.36,93.42,93.42,93.36,15
1729684620000,3581,93.36,93.35,93.43,93.43,93.35,34
