time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729756800000,356,225.5824,225.24,226,226,225.24,11
1729762440000,220,225.5977,225.6,225.6,225.6,225.6,3
1729765860000,279,226.4108,226.42,226.42,226.42,226.42,6
1729766640000,200,226.4255,226.42,226.42,226.42,226.42,3
1729767480000,427,226.3856,226.51,226.5,226.51,226.5,12
1729767900000,618,225.5846,225.5,225.51,225.51,225.5,22
1729768440000,2771,225.8856,225.06,226,226,225.06,37
1729768560000,1225,226.4908,226.5,226.5,226.5,226.5,13
1729768860000,144,226.135,226.28,226.28,226.28,226.28,5
1729769100000,116,226.2016,226.22,226.22,226.22,226.22,3
1729770840000,116,225.9914,225.99,225.99,225.99,225.99,3
1729771200000,1271,225.2754,225.8,226.072,226.072,225.8,71
1729771920000,257,225.1339,225.14,225.14,225.14,225.14,4
1729772100000,557,225.134,225.21,225.11,225.21,225.11,11
1729773420000,14715,220.9539,220.95,220.95,220.95,220.95,3
1729773600000,266,225.5711,225.56,225.56,225.56,225.56,11
1729773660000,267,225.3333,225.25,225.25,225.25,225.25,10
1729774020000,733,225.4754,225.5,225.44,225.51,225.44,10
1729774440000,553,225.026,225.05,225,225.05,225,13
1729774560000,1705,224.1466,224.1,224.04,224.1,224.04,41
1729774620000,337,223.9308,223.91,223.91,223.91,223.91,6
1729774680000,2415,222.4464,222.5,222.11,222.51,222.11,57
1729774740000,3197,221.8028,221.83,221.82,221.83,221.5,21
1729774800000,802,221.8006,221.9,221.9,221.9,221.9,7
1729774860000,425,221.5809,221.75,221.5,221.75,221.5,8
1729775040000,3881,221.0143,221.35,220.83,221.35,220.83,117
1729775160000,606,221.8058,221.87,221.88,221.88,221.87,14
1729775400000,453,221.5964,221.51,221.5,221.51,221.5,10
1729775460000,271,221.5786,221.5,221.7,221.7,221.5,7
1729775580000,436,221.6729,221.5,221.8,221.8,221.5,6
1729775700000,450,221.8724,221.99,222,222,221.5,8
1729775880000,1069,221.1223,221.46,220.6,221.46,220.6,29
1729776360000,1087,222,222,222,222,222,10
1729776480000,2207,222.2629,222.21,222.22,222.31,222.21,55
1729776540000,762,222.3188,222.32,222.3,222.32,222.3,15
1729776600000,110782,223.1346,223.4,224.66,224.68,221,1612
1729776660000,52696,226.9731,224.76,228.99,228.99,224,1511
1729776720000,80758,229.2544,228.61,230.01,230.31,228.37,2091
1729776780000,98144,229.9989,230.115,230.38,230.69,228.88,1952
1729776840000,57669,229.8139,230.12,229.43,230.33,229.25,1106
1729776900000,60449,229.1986,229.34,229.57,229.595,228.6,1120
1729776960000,43133,230.1413,229.5,230.785,230.785,229.4,1017
1729777020000,42575,230.5065,230.785,230.52,230.785,230.1,1029
1729777080000,56765,230.1965,230.59,229.44,230.78,229.44,1147
1729777140000,25845,229.2695,229.31,228.84,229.96,228.6801,492
1729777200000,93991,229.217,228.845,228.995,229.53,228.72,636
1729777260000,59229,229.247,228.9,228.88,229.5816,228.83,479
1729777320000,37183,228.8979,228.83,228.72,229.07,228.7,634
1729777380000,52737,228.6794,228.82,228.205,228.94,228.205,687
1729777440000,61242,228.7701,228.1925,228.515,228.99,228.1925,302
1729777500000,29442,228.4941,228.485,228.88,228.88,228.31,421
1729777560000,73795,229.2476,228.843,228.91,229.425,228.84,579
1729777620000,35714,228.9811,228.92,228.965,229.07,228.825,425
1729777680000,45423,228.6497,229,228.47,229.01,228.33,591
1729777740000,52630,228.5126,228.5,228.01,228.85,228.01,561
1729777800000,26364,228.0571,228.1031,227.4,228.38,227.375,518
1729777860000,28556,227.2722,227.395,226.85,227.395,226.85,488
1729777920000,27705,226.6021,226.84,226.835,226.9,226.28,590
1729777980000,21214,227.058,226.84,227.32,227.34,226.84,400
1729778040000,13091,227.4986,227.165,227.76,227.89,227.165,260
1729778100000,13219,227.8125,227.755,227.76,227.9817,227.72,254
1729778160000,7198,227.8053,227.77,227.91,227.95,227.74,166
1729778220000,11647,227.7962,227.91,227.65,227.91,227.65,228
1729778280000,10897,227.6362,227.58,227.905,227.905,227.4,254
1729778340000,14989,227.8916,227.91,227.905,228.03,227.81,316
1729778400000,21051,227.8861,227.9,227.66,228.05,227.64,367
