time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729756800000,152709,239.3142,239.15,239.35,240,238.41,2904
1729756860000,88998,238.9945,239.35,238.65,239.63,238.42,1756
1729756920000,76218,238.9958,238.96,238.56,239.48,238.55,1304
1729756980000,55907,238.9572,238.6,239.02,239.06,238.6,851
1729757040000,57726,239.2983,239.02,239.35,239.56,239,1268
1729757100000,47937,238.8439,239.3,238.59,239.31,238.5,679
1729757160000,57581,238.1433,238.59,238,238.59,237.99,842
1729757220000,26857,238.0939,238,238.28,238.28,238,663
1729757280000,39438,238.0003,238.2,237.61,238.28,237.6,685
1729757340000,40253,237.3526,237.6,237.16,237.6,237.1,891
1729757400000,26149,237.2653,237.28,237.11,237.47,237.11,554
1729757460000,56512,237.2164,237.1,237.88,238.5,236.96,1164
1729757520000,41320,238.1378,237.77,238.34,239,237.52,796
1729757580000,27781,238.5817,238.34,238.45,239,238.1,515
1729757640000,17004,238.577,238.5,238.59,238.65,238.45,386
1729757700000,7071,238.4107,238.57,238.12,238.6,238.12,231
1729757760000,11149,237.9597,238.18,237.7,238.18,237.7,286
1729757820000,14691,237.6668,237.7,237.85,237.91,237.51,326
1729757880000,9857,237.8291,237.83,237.67,238,237.67,254
1729757940000,17937,237.6436,237.7,237.49,237.8,237.39,414
1729758000000,28876,237.6138,237.31,238,238,237.2,713
1729758060000,35511,238.0248,238,238.01,238.2,237.94,446
1729758120000,17117,237.8689,238,237.6,238.05,237.51,491
1729758180000,16488,237.5524,237.6,237.56,237.72,237.39,308
1729758240000,10327,237.507,237.54,237.35,237.7,237.35,269
1729758300000,45811,237.2712,237.38,237.65,237.65,237.2,446
1729758360000,18145,237.3779,237.51,237.32,237.51,237.21,288
1729758420000,6841,237.3264,237.32,237.48,237.48,237.27,215
1729758480000,6872,237.3868,237.37,237.29,237.48,237.29,225
1729758540000,9667,237.2158,237.29,237.11,237.37,237.11,236
1729758600000,8398,237.2396,237.12,237.24,237.3,237.12,215
1729758660000,14146,237.2333,237.25,237.14,237.38,237.14,264
1729758720000,27673,237.128,237.12,237.21,237.22,237.1,286
1729758780000,10002,237.2432,237.22,237.33,237.37,237.17,245
1729758840000,10392,237.4333,237.38,237.39,237.59,237.26,269
1729758900000,9175,237.3299,237.31,237.3,237.39,237.25,132
1729758960000,4641,237.4227,237.29,237.49,237.51,237.29,190
1729759020000,13677,237.67,237.49,237.5,237.79,237.49,415
1729759080000,13278,237.568,237.55,237.44,237.67,237.44,177
1729759140000,7538,237.6305,237.47,237.68,237.77,237.47,185
1729759200000,6573,237.6426,237.73,237.51,237.78,237.51,151
1729759260000,3982,237.5701,237.6,237.56,237.61,237.5,113
1729759320000,3308,237.5861,237.54,237.54,237.66,237.54,153
1729759380000,4012,237.5266,237.56,237.5,237.6,237.47,132
1729759440000,6509,237.4573,237.5,237.52,237.6,237.39,153
1729759500000,18698,237.1794,237.48,237.11,237.48,237.06,351
1729759560000,24255,237.1039,237.11,237.06,237.2,237.06,300
1729759620000,42584,237.0106,237.07,236.9,237.17,236.8,627
1729759680000,23485,236.9995,236.9,236.99,237.2,236.8,359
1729759740000,11326,236.8039,237.1,236.68,237.1,236.66,292
1729759800000,20994,236.6426,236.77,236.69,236.8,236.54,381
1729759860000,17133,236.5483,236.67,236.51,236.67,236.46,374
1729759920000,24930,236.4314,236.55,236.42,236.55,236.4,342
1729759980000,14962,236.4204,236.4,236.4,236.52,236.4,301
1729760040000,14107,236.4516,236.45,236.56,236.58,236.4,302
1729760100000,6850,236.597,236.56,236.65,236.65,236.51,243
1729760160000,6114,236.6257,236.65,236.64,236.71,236.53,164
1729760220000,6836,236.5545,236.55,236.59,236.67,236.51,159
1729760280000,6210,236.5992,236.57,236.68,236.68,236.51,225
1729760340000,5132,236.5983,236.6,236.6,236.68,236.54,153
1729760400000,9094,236.4702,236.59,236.46,236.59,236.4,205
1729760460000,21091,236.3038,236.45,236.12,236.45,236.12,371
1729760520000,15058,236.1579,236.14,236.03,236.31,236.03,340
1729760580000,43871,236.0096,236.04,236,236.08,235.97,646
1729760640000,8360,236.1348,236.01,236.1,236.24,236,206
1729760700000,8109,236.152,236.16,236.1,236.21,236.09,292
1729760760000,5593,236.1864,236.15,236.15,236.23,236.14,161
1729760820000,30842,235.9692,236.15,235.81,236.15,235.75,383
1729760880000,27487,235.5705,235.81,235.5,235.84,235.42,606
1729760940000,15505,235.5727,235.49,235.6,235.64,235.49,302
